Orth_id	Uni_id	Gene_des
OG0000088	sp|O00370|LORF2_HUMAN	LINE-1 retrotransposable element ORF2 protein
OG0000089	sp|Q96PX9|PKH4B_HUMAN	Pleckstrin homology domain-containing family G member 4B
OG0000093	sp|Q5SW79|CE170_HUMAN	Centrosomal protein of 170 kDa
OG0000096	sp|Q5JWR5|DOP1_HUMAN	Protein dopey-1
OG0000097	sp|Q8WWN8|ARAP3_HUMAN	"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3"
OG0000108	sp|P51954|NEK1_MOUSE	Serine/threonine-protein kinase Nek1
OG0000110	sp|Q0VG85|CC162_MOUSE	Coiled-coil domain-containing protein 162
OG0000116	sp|Q5ZIB2|FBF1_CHICK	Fas-binding factor 1 homolog
OG0000117	sp|C6FG12|NLRC5_ICTPU	Protein NLRC5
OG0000119	sp|Q98UF7|PCX1_TAKRU	Pecanex-like protein 1
OG0000121	sp|P47736|RPGP1_HUMAN	Rap1 GTPase-activating protein 1
OG0000122	sp|Q7ZU99|TERA_DANRE	Transitional endoplasmic reticulum ATPase
OG0000125	sp|Q8BY87|UBP47_MOUSE	Ubiquitin carboxyl-terminal hydrolase 47
OG0000126	sp|Q6PAL7|AHDC1_MOUSE	AT-hook DNA-binding motif-containing protein 1
OG0000129	sp|Q3YBR2|TBRG1_HUMAN	Transforming growth factor beta regulator 1
OG0000135	sp|Q9R0I7|YLPM1_MOUSE	YLP motif-containing protein 1
OG0000142	sp|Q62415|ASPP1_MOUSE	Apoptosis-stimulating of p53 protein 1
OG0000144	sp|Q5ZKN3|PHTF2_CHICK	Putative homeodomain transcription factor 2
OG0000150	sp|A8WHR0|DCA17_DANRE	DDB1- and CUL4-associated factor 17
OG0000152	sp|Q9W735|PRM1A_DANRE	Prominin-1-A
OG0000154	sp|O60296|TRAK2_HUMAN	Trafficking kinesin-binding protein 2
OG0000156	sp|Q8CGI1|F193A_MOUSE	Protein FAM193A
OG0000158	sp|P0CT41|TF212_SCHPO	Transposon Tf2-12 polyprotein
OG0000159	sp|O43295|SRGP3_HUMAN	SLIT-ROBO Rho GTPase-activating protein 3
OG0000162	sp|Q91392|RARGA_DANRE	Retinoic acid receptor gamma-A
OG0000167	sp|Q8CI12|SMTL2_MOUSE	Smoothelin-like protein 2
OG0000168	sp|B6RSP1|PKHA7_DANRE	Pleckstrin homology domain-containing family A member 7
OG0000169	sp|Q8WWI1|LMO7_HUMAN	LIM domain only protein 7
OG0000171	sp|D3ZD32|CHD5_RAT	Chromodomain-helicase-DNA-binding protein 5
OG0000172	sp|Q7Z602|GP141_HUMAN	Probable G-protein coupled receptor 141
OG0000182	sp|Q8BPQ7|SGSM1_MOUSE	Small G protein signaling modulator 1
OG0000183	sp|A0JM13|C2CD3_XENTR	C2 domain-containing protein 3
OG0000199	sp|Q8BMF8|GLDN_MOUSE	Gliomedin
OG0000201	sp|Q9ULU4|PKCB1_HUMAN	Protein kinase C-binding protein 1
OG0000204	sp|A2RUV4|RHG21_XENTR	Rho GTPase-activating protein 21
OG0000207	sp|Q2XVR4|SC4AB_TETNG	Sodium channel protein type 4 subunit alpha B
OG0000208	sp|Q5W041|ARMC3_HUMAN	Armadillo repeat-containing protein 3
OG0000215	sp|Q99KW3|TARA_MOUSE	TRIO and F-actin-binding protein
OG0000222	sp|Q5VZL5|ZMYM4_HUMAN	Zinc finger MYM-type protein 4
OG0000224	sp|Q5VU43|MYOME_HUMAN	Myomegalin
OG0000225	sp|Q9NSI6|BRWD1_HUMAN	Bromodomain and WD repeat-containing protein 1
OG0000227	sp|Q9JKB5|ARI4B_RAT	AT-rich interactive domain-containing protein 4B
OG0000228	sp|P0C881|R10B1_HUMAN	Radial spoke head 10 homolog B
OG0000229	sp|A0JM08|C170B_XENTR	Centrosomal protein of 170 kDa protein B
OG0000230	sp|E7F6T8|UBP37_DANRE	Ubiquitin carboxyl-terminal hydrolase 37
OG0000235	sp|E1BZ85|MARF1_CHICK	Meiosis regulator and mRNA stability factor 1
OG0000237	sp|O00750|P3C2B_HUMAN	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta
OG0000241	sp|P53804|TTC3_HUMAN	E3 ubiquitin-protein ligase TTC3
OG0000258	sp|Q61245|COBA1_MOUSE	Collagen alpha-1(XI) chain
OG0000261	sp|Q9Y662|HS3SB_HUMAN	Heparan sulfate glucosamine 3-O-sulfotransferase 3B1
OG0000262	sp|A2AR02|PPIG_MOUSE	Peptidyl-prolyl cis-trans isomerase G
OG0000268	sp|Q14432|PDE3A_HUMAN	"cGMP-inhibited 3',5'-cyclic phosphodiesterase A"
OG0000271	sp|Q9ES67|ARHGB_RAT	Rho guanine nucleotide exchange factor 11
OG0000275	sp|Q3SZI7|COG6_BOVIN	Conserved oligomeric Golgi complex subunit 6
OG0000279	sp|Q149M9|NWD1_HUMAN	NACHT domain- and WD repeat-containing protein 1
OG0000280	sp|Q8TCU4|ALMS1_HUMAN	Alstrom syndrome protein 1
OG0000281	sp|Q6P995|F171B_HUMAN	Protein FAM171B
OG0000282	sp|A2AN08|UBR4_MOUSE	E3 ubiquitin-protein ligase UBR4
OG0000283	sp|P98157|LRP1_CHICK	Low-density lipoprotein receptor-related protein 1
OG0000284	sp|Q15751|HERC1_HUMAN	Probable E3 ubiquitin-protein ligase HERC1
OG0000288	sp|A8WG43|CCD89_DANRE	Coiled-coil domain-containing protein 89
OG0000290	sp|Q498L2|SLTM_XENLA	SAFB-like transcription modulator
OG0000294	sp|Q7ZU29|NUP93_DANRE	Nuclear pore complex protein Nup93
OG0000295	sp|Q08AD1|CAMP2_HUMAN	Calmodulin-regulated spectrin-associated protein 2
OG0000297	sp|Q9P281|BAHC1_HUMAN	BAH and coiled-coil domain-containing protein 1
OG0000301	sp|Q92824|PCSK5_HUMAN	Proprotein convertase subtilisin/kexin type 5
OG0000302	sp|Q69ZM6|STK36_MOUSE	Serine/threonine-protein kinase 36
OG0000303	sp|B0CM26|CFA69_PAPAN	Cilia- and flagella-associated protein 69
OG0000305	sp|P0DOX6|IGM_HUMAN	Immunoglobulin mu heavy chain
OG0000317	sp|O75400|PR40A_HUMAN	Pre-mRNA-processing factor 40 homolog A
OG0000324	sp|Q7SXC6|SLAIL_DANRE	SLAIN motif-containing protein-like
OG0000330	sp|P22897|MRC1_HUMAN	Macrophage mannose receptor 1
OG0000342	sp|P04003|C4BPA_HUMAN	C4b-binding protein alpha chain
OG0000343	sp|Q9NZV8|KCND2_HUMAN	Potassium voltage-gated channel subfamily D member 2
OG0000345	sp|Q5SPC5|OTOF_DANRE	Otoferlin
OG0000346	sp|Q9H2X9|S12A5_HUMAN	Solute carrier family 12 member 5
OG0000349	sp|Q95JT3|LRC43_MACFA	Leucine-rich repeat-containing protein 43
OG0000351	sp|Q8VDD9|PHIP_MOUSE	PH-interacting protein
OG0000357	sp|Q96M86|DNHD1_HUMAN	Dynein heavy chain domain-containing protein 1
OG0000359	sp|Q03468|ERCC6_HUMAN	DNA excision repair protein ERCC-6
OG0000361	sp|Q9Y4G6|TLN2_HUMAN	Talin-2
OG0000364	sp|Q804T6|DIX1A_DANRE	Dixin-A
OG0000368	sp|Q8NEY1|NAV1_HUMAN	Neuron navigator 1
OG0000369	sp|Q8BML2|OACYL_MOUSE	O-acyltransferase like protein
OG0000370	sp|Q8CGF7|TCRG1_MOUSE	Transcription elongation regulator 1
OG0000372	sp|P60669|PKHA4_RAT	Pleckstrin homology domain-containing family A member 4
OG0000375	sp|Q14527|HLTF_HUMAN	Helicase-like transcription factor
OG0000379	sp|Q7SY48|HEAT1_DANRE	HEAT repeat-containing protein 1
OG0000381	sp|Q5VZL5|ZMYM4_HUMAN	Zinc finger MYM-type protein 4
OG0000386	sp|Q5F3D1|ZCHC8_CHICK	Zinc finger CCHC domain-containing protein 8
OG0000387	sp|Q3UHK8|TNR6A_MOUSE	Trinucleotide repeat-containing gene 6A protein
OG0000389	sp|Q96RG2|PASK_HUMAN	PAS domain-containing serine/threonine-protein kinase
OG0000391	sp|P49790|NU153_HUMAN	Nuclear pore complex protein Nup153
OG0000393	sp|Q6DN12|MCTP2_HUMAN	Multiple C2 and transmembrane domain-containing protein 2
OG0000394	sp|Q9R237|JIP1_RAT	C-Jun-amino-terminal kinase-interacting protein 1
OG0000405	sp|Q99996|AKAP9_HUMAN	A-kinase anchor protein 9
OG0000409	sp|E7FCN8|INTU_DANRE	Protein inturned
OG0000414	sp|Q6PEM6|GRM2B_MOUSE	GRAM domain-containing protein 2B
OG0000418	sp|G3UZ78|ADGB_MOUSE	Androglobin
OG0000419	sp|Q6QI06|RICTR_MOUSE	Rapamycin-insensitive companion of mTOR
OG0000423	sp|O75665|OFD1_HUMAN	Oral-facial-digital syndrome 1 protein
OG0000424	sp|Q0VCQ7|ICE2_BOVIN	Little elongation complex subunit 2
OG0000426	sp|A8MT70|ZBBX_HUMAN	Zinc finger B-box domain-containing protein 1
OG0000427	sp|Q96L93|KI16B_HUMAN	Kinesin-like protein KIF16B
OG0000431	sp|Q9Z1T6|FYV1_MOUSE	1-phosphatidylinositol 3-phosphate 5-kinase
OG0000437	sp|Q5T5J6|SWT1_HUMAN	Transcriptional protein SWT1
OG0000446	sp|Q6UX68|XKR5_HUMAN	XK-related protein 5
OG0000450	sp|Q8IYW2|CFA46_HUMAN	Cilia- and flagella-associated protein 46
OG0000454	sp|B0S5N4|PLXA3_DANRE	Plexin A3
OG0000460	sp|F1MAD2|INADL_RAT	InaD-like protein
OG0000461	sp|Q4R628|KIF3A_MACFA	Kinesin-like protein KIF3A
OG0000466	sp|O76083|PDE9A_HUMAN	"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A"
OG0000467	sp|Q96PC5|MIA2_HUMAN	Melanoma inhibitory activity protein 2
OG0000468	sp|Q8C7R4|UBA6_MOUSE	Ubiquitin-like modifier-activating enzyme 6
OG0000473	sp|Q9NV70|EXOC1_HUMAN	Exocyst complex component 1
OG0000474	sp|Q86Z02|HIPK1_HUMAN	Homeodomain-interacting protein kinase 1
OG0000495	sp|Q2PQA9|KINH_RAT	Kinesin-1 heavy chain
OG0000497	sp|P0CT35|TF22_SCHPO	Transposon Tf2-2 polyprotein
OG0000498	sp|P18520|ION3_CARAU	Intermediate filament protein ON3
OG0000499	sp|P59281|RHG39_MOUSE	Rho GTPase-activating protein 39
OG0000501	sp|Q9C0B2|CFA74_HUMAN	Cilia- and flagella-associated protein 74
OG0000502	sp|Q1ECV4|TTLL3_DANRE	Tubulin monoglycylase TTLL3
OG0000508	sp|Q6DEH3|KC2D1_DANRE	Calcium/calmodulin-dependent protein kinase type II delta 1 chain
OG0000509	sp|Q5T6F2|UBAP2_HUMAN	Ubiquitin-associated protein 2
OG0000510	sp|Q80ZF8|AGRB3_MOUSE	Adhesion G protein-coupled receptor B3
OG0000511	sp|Q8CIM1|LRC45_MOUSE	Leucine-rich repeat-containing protein 45
OG0000512	sp|Q7Z403|TMC6_HUMAN	Transmembrane channel-like protein 6
OG0000514	sp|Q6PFQ0|KS6A6_DANRE	Ribosomal protein S6 kinase alpha-6
OG0000516	sp|Q70CQ2|UBP34_HUMAN	Ubiquitin carboxyl-terminal hydrolase 34
OG0000518	sp|Q6JHU9|CBP_RAT	CREB-binding protein
OG0000519	sp|Q3UN70|MRFL_MOUSE	Myelin regulatory factor-like protein
OG0000520	sp|P17612|KAPCA_HUMAN	cAMP-dependent protein kinase catalytic subunit alpha
OG0000521	sp|Q7L7X3|TAOK1_HUMAN	Serine/threonine-protein kinase TAO1
OG0000524	sp|Q9P2D6|F135A_HUMAN	Protein FAM135A
OG0000526	sp|Q8TF21|ANR24_HUMAN	Ankyrin repeat domain-containing protein 24
OG0000527	sp|P83038|HDAC4_CHICK	Histone deacetylase 4
OG0000531	sp|O43663|PRC1_HUMAN	Protein regulator of cytokinesis 1
OG0000532	sp|Q12830|BPTF_HUMAN	Nucleosome-remodeling factor subunit BPTF
OG0000539	sp|Q5TCS8|KAD9_HUMAN	Adenylate kinase 9
OG0000545	sp|Q86T90|K1328_HUMAN	Protein hinderin
OG0000549	sp|Q9JIX8|ACINU_MOUSE	Apoptotic chromatin condensation inducer in the nucleus
OG0000558	sp|Q56A40|CCD40_DANRE	Coiled-coil domain-containing protein 40
OG0000560	sp|P20929|NEBU_HUMAN	Nebulin
OG0000562	sp|O60506|HNRPQ_HUMAN	Heterogeneous nuclear ribonucleoprotein Q
OG0000567	sp|Q5VWN6|TASO2_HUMAN	Protein TASOR 2
OG0000568	sp|Q5TC82|RC3H1_HUMAN	Roquin-1
OG0000569	sp|Q96JM2|ZN462_HUMAN	Zinc finger protein 462
OG0000577	sp|P46098|5HT3A_HUMAN	5-hydroxytryptamine receptor 3A
OG0000578	sp|Q0VF96|CGNL1_HUMAN	Cingulin-like protein 1
OG0000579	sp|B8JI71|EYS_DANRE	Protein eyes shut homolog
OG0000596	sp|A1L251|ENASE_DANRE	Cytosolic endo-beta-N-acetylglucosaminidase
OG0000601	sp|P70399|TP53B_MOUSE	TP53-binding protein 1
OG0000612	sp|P14381|YTX2_XENLA	Transposon TX1 uncharacterized 149 kDa protein
OG0000616	sp|O46385|SVIL_BOVIN	Supervillin
OG0000617	sp|Q5JVF3|PCID2_HUMAN	PCI domain-containing protein 2
OG0000619	sp|Q8IXL6|FA20C_HUMAN	Extracellular serine/threonine protein kinase FAM20C
OG0000620	sp|Q5T890|ER6L2_HUMAN	DNA excision repair protein ERCC-6-like 2
OG0000624	sp|B7ZS37|BAZ2A_XENLA	Bromodomain adjacent to zinc finger domain protein 2A
OG0000630	sp|Q9ESL4|M3K20_MOUSE	Mitogen-activated protein kinase kinase kinase 20
OG0000633	sp|P0C5E4|PTPRQ_MOUSE	Phosphatidylinositol phosphatase PTPRQ
OG0000635	sp|F6SEU4|SYGP1_MOUSE	Ras/Rap GTPase-activating protein SynGAP
OG0000636	sp|O00370|LORF2_HUMAN	LINE-1 retrotransposable element ORF2 protein
OG0000637	sp|Q9H2M9|RBGPR_HUMAN	Rab3 GTPase-activating protein non-catalytic subunit
OG0000639	sp|Q8WYP5|ELYS_HUMAN	Protein ELYS
OG0000644	sp|Q9BYX2|TBD2A_HUMAN	TBC1 domain family member 2A
OG0000649	sp|D3ZUQ0|RIPL1_RAT	RILP-like protein 1
OG0000650	sp|Q19UN5|CK5P2_PANTR	CDK5 regulatory subunit-associated protein 2
OG0000651	sp|O95613|PCNT_HUMAN	Pericentrin
OG0000653	sp|Q6PH08|ERC2_MOUSE	ERC protein 2
OG0000654	sp|Q5DU05|CE164_MOUSE	Centrosomal protein of 164 kDa
OG0000655	sp|P58312|AT1A3_OREMO	Sodium/potassium-transporting ATPase subunit alpha-3
OG0000660	sp|Q96PX9|PKH4B_HUMAN	Pleckstrin homology domain-containing family G member 4B
OG0000661	sp|Q61043|NIN_MOUSE	Ninein
OG0000664	sp|Q3U3N0|MIER2_MOUSE	Mesoderm induction early response protein 2
OG0000679	sp|A7MBH5|CC151_BOVIN	Coiled-coil domain-containing protein 151
OG0000681	sp|A0JMF7|HAUS6_DANRE	HAUS augmin-like complex subunit 6
OG0000683	sp|Q80VA5|S3TC2_MOUSE	SH3 domain and tetratricopeptide repeat-containing protein 2
OG0000684	sp|Q8CH25|SLTM_MOUSE	SAFB-like transcription modulator
OG0000703	sp|Q969F9|HPS3_HUMAN	Hermansky-Pudlak syndrome 3 protein
OG0000710	sp|P60766|CDC42_MOUSE	Cell division control protein 42 homolog
OG0000711	sp|O14980|XPO1_HUMAN	Exportin-1
OG0000713	sp|B1AYB6|MBD5_MOUSE	Methyl-CpG-binding domain protein 5
OG0000714	sp|Q5Q0U5|SGK1_FUNHE	Serine/threonine-protein kinase Sgk1
OG0000715	sp|Q6PH57|GBB1_DANRE	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1
OG0000716	sp|Q9CW79|GOGA1_MOUSE	Golgin subfamily A member 1
OG0000717	sp|Q14667|K0100_HUMAN	Protein KIAA0100
OG0000719	sp|Q8N4P6|LRC71_HUMAN	Leucine-rich repeat-containing protein 71
OG0000720	sp|Q1LUA6|TRIO_DANRE	Triple functional domain protein
OG0000724	sp|Q3UHN9|NDST1_MOUSE	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1
OG0000727	sp|Q2PZL6|FAT4_MOUSE	Protocadherin Fat 4
OG0000730	sp|Q9UK61|TASOR_HUMAN	Protein TASOR
OG0000731	sp|Q9DEY9|BLM_XENLA	Bloom syndrome protein homolog
OG0000734	sp|P12003|VINC_CHICK	Vinculin
OG0000736	sp|Q3UH66|WNK2_MOUSE	Serine/threonine-protein kinase WNK2
OG0000737	sp|Q7Z401|MYCPP_HUMAN	C-myc promoter-binding protein
OG0000738	sp|Q9NT68|TEN2_HUMAN	Teneurin-2
OG0000741	sp|Q9HCF6|TRPM3_HUMAN	Transient receptor potential cation channel subfamily M member 3
OG0000748	sp|A1L1F4|PDS5A_DANRE	Sister chromatid cohesion protein PDS5 homolog A
OG0000749	sp|Q9HAQ2|KIF9_HUMAN	Kinesin-like protein KIF9
OG0000750	sp|O15553|MEFV_HUMAN	Pyrin
OG0000751	sp|Q9UKK3|PARP4_HUMAN	Protein mono-ADP-ribosyltransferase PARP4
OG0000753	sp|Q5VT06|CE350_HUMAN	Centrosome-associated protein 350
OG0000756	sp|Q6PCE3|PGM2L_HUMAN	"Glucose 1,6-bisphosphate synthase"
OG0000759	sp|Q96T58|MINT_HUMAN	Msx2-interacting protein
OG0000761	sp|Q9BZ29|DOCK9_HUMAN	Dedicator of cytokinesis protein 9
OG0000764	sp|Q8IVI9|NOSTN_HUMAN	Nostrin
OG0000765	sp|Q9P2D8|UNC79_HUMAN	Protein unc-79 homolog
OG0000766	sp|Q5TAX3|TUT4_HUMAN	Terminal uridylyltransferase 4
OG0000767	sp|Q803E1|NCBP3_DANRE	Nuclear cap-binding protein subunit 3
OG0000768	sp|Q9BQS8|FYCO1_HUMAN	FYVE and coiled-coil domain-containing protein 1
OG0000779	sp|O60343|TBCD4_HUMAN	TBC1 domain family member 4
OG0000780	sp|Q7RTU9|STRC_HUMAN	Stereocilin
OG0000781	sp|Q19UN5|CK5P2_PANTR	CDK5 regulatory subunit-associated protein 2
OG0000782	sp|Q14008|CKAP5_HUMAN	Cytoskeleton-associated protein 5
OG0000783	sp|Q14CH7|SYAM_MOUSE	"Alanine--tRNA ligase, mitochondrial"
OG0000785	sp|A6NHR9|SMHD1_HUMAN	Structural maintenance of chromosomes flexible hinge domain-containing protein 1
OG0000788	sp|P28020|CSK21_XENLA	Casein kinase II subunit alpha
OG0000789	sp|A1L1L3|PTN20_RAT	Tyrosine-protein phosphatase non-receptor type 20
OG0000793	sp|Q8TE76|MORC4_HUMAN	MORC family CW-type zinc finger protein 4
OG0000798	sp|Q6IRU7|CEP78_MOUSE	Centrosomal protein of 78 kDa
OG0000801	sp|A6H8T7|CBPC2_DANRE	Cytosolic carboxypeptidase 2
OG0000802	sp|A8C750|THADA_CANLF	Thyroid adenoma-associated protein homolog
OG0000805	sp|Q9ESM6|GDPD2_MOUSE	Glycerophosphoinositol inositolphosphodiesterase GDPD2
OG0000806	sp|F1P4W9|CFA65_CHICK	Cilia- and flagella-associated protein 65
OG0000807	sp|Q3KR37|ASTRB_HUMAN	Protein Aster-B
OG0000808	sp|Q6PCJ1|DCTN1_XENLA	Dynactin subunit 1
OG0000809	sp|Q96AA8|JKIP2_HUMAN	Janus kinase and microtubule-interacting protein 2
OG0000810	sp|Q8NEZ4|KMT2C_HUMAN	Histone-lysine N-methyltransferase 2C
OG0000811	sp|P21675|TAF1_HUMAN	Transcription initiation factor TFIID subunit 1
OG0000823	sp|Q6KAU8|A16L2_MOUSE	Autophagy-related protein 16-2
OG0000832	sp|Q9UEY8|ADDG_HUMAN	Gamma-adducin
OG0000833	sp|Q4R4S4|ARL8B_MACFA	ADP-ribosylation factor-like protein 8B
OG0000834	sp|Q64739|COBA2_MOUSE	Collagen alpha-2(XI) chain
OG0000838	sp|Q80VP2|SPAT7_MOUSE	Spermatogenesis-associated protein 7 homolog
OG0000839	sp|Q9XWZ2|ACD11_CAEEL	Acyl-CoA dehydrogenase family member 11
OG0000840	sp|Q3U7R1|ESYT1_MOUSE	Extended synaptotagmin-1
OG0000843	sp|Q13459|MYO9B_HUMAN	Unconventional myosin-IXb
OG0000844	sp|Q15154|PCM1_HUMAN	Pericentriolar material 1 protein
OG0000848	sp|Q5JU85|IQEC2_HUMAN	IQ motif and SEC7 domain-containing protein 2
OG0000853	sp|Q8BHJ5|TBL1R_MOUSE	F-box-like/WD repeat-containing protein TBL1XR1
OG0000854	sp|Q98TW1|NCOA2_DANRE	Nuclear receptor coactivator 2
OG0000856	sp|P51957|NEK4_HUMAN	Serine/threonine-protein kinase Nek4
OG0000857	sp|P84243|H33_HUMAN	Histone H3.3
OG0000858	sp|Q6A065|CE170_MOUSE	Centrosomal protein of 170 kDa
OG0000861	sp|Q0VG85|CC162_MOUSE	Coiled-coil domain-containing protein 162
OG0000862	sp|Q5DU28|PCX2_MOUSE	Pecanex-like protein 2
OG0000863	sp|Q3UDW8|HGNAT_MOUSE	Heparan-alpha-glucosaminide N-acetyltransferase
OG0000864	sp|Q9WV25|PUF60_RAT	Poly(U)-binding-splicing factor PUF60
OG0000866	sp|Q4W5Z4|DNM3A_CHICK	DNA (cytosine-5)-methyltransferase 3A
OG0000870	sp|Q6PCQ0|IQCE_MOUSE	IQ domain-containing protein E
OG0000876	sp|Q9ERU9|RBP2_MOUSE	E3 SUMO-protein ligase RanBP2
OG0000879	sp|Q5T5P2|SKT_HUMAN	Sickle tail protein homolog
OG0000884	sp|Q9NWH7|SPAT6_HUMAN	Spermatogenesis-associated protein 6
OG0000886	sp|Q8NEV4|MYO3A_HUMAN	Myosin-IIIa
OG0000887	sp|Q6T4R5|NHS_HUMAN	Nance-Horan syndrome protein
OG0000891	sp|Q7Z4T9|CFA91_HUMAN	Cilia- and flagella-associated protein 91
OG0000893	sp|P20333|TNR1B_HUMAN	Tumor necrosis factor receptor superfamily member 1B
OG0000895	sp|Q5ZIA2|MAP7_CHICK	Ensconsin
OG0000896	sp|E9QBI7|OMA1_DANRE	"Metalloendopeptidase OMA1, mitochondrial"
OG0000898	sp|Q6DDH2|RMI1_XENLA	RecQ-mediated genome instability protein 1
OG0000899	sp|Q6ZMQ8|LMTK1_HUMAN	Serine/threonine-protein kinase LMTK1
OG0000902	sp|Q9D180|CFA57_MOUSE	Cilia- and flagella-associated protein 57
OG0000903	sp|Q3UH66|WNK2_MOUSE	Serine/threonine-protein kinase WNK2
OG0000906	sp|Q9Y618|NCOR2_HUMAN	Nuclear receptor corepressor 2
OG0000908	sp|Q5JWR5|DOP1_HUMAN	Protein dopey-1
OG0000909	sp|Q5ZM60|CCPG1_CHICK	Cell cycle progression protein 1
OG0000917	sp|O08550|KMT2B_MOUSE	Histone-lysine N-methyltransferase 2B
OG0000919	sp|Q5FVK6|C2D1B_RAT	Coiled-coil and C2 domain-containing protein 1B
OG0000920	sp|Q8BI84|TGO1_MOUSE	Transport and Golgi organization protein 1 homolog
OG0000921	sp|F1MMS9|ITA3_BOVIN	Integrin alpha-3
OG0000922	sp|Q924W6|TRI66_MOUSE	Tripartite motif-containing protein 66
OG0000924	sp|F1NWE3|PTPRS_CHICK	Receptor-type tyrosine-protein phosphatase S
OG0000926	sp|Q9H0D2|ZN541_HUMAN	Zinc finger protein 541
OG0000927	sp|Q9UL16|CFA45_HUMAN	Cilia- and flagella-associated protein 45
OG0000929	sp|D4A666|UBN2_RAT	Ubinuclein-2
OG0000932	sp|Q6PGZ0|CEP63_DANRE	Centrosomal protein of 63 kDa
OG0000935	sp|Q921G8|GCP2_MOUSE	Gamma-tubulin complex component 2
OG0000937	sp|Q6NTN5|MTMRD_XENLA	Myotubularin-related protein 13
OG0000940	sp|Q1LZF8|CLCC1_BOVIN	Chloride channel CLIC-like protein 1
OG0000941	sp|Q5RGA4|MYSM1_DANRE	Histone H2A deubiquitinase MYSM1
OG0000944	sp|Q68CZ6|HAUS3_HUMAN	HAUS augmin-like complex subunit 3
OG0000946	sp|Q5SZK8|FREM2_HUMAN	FRAS1-related extracellular matrix protein 2
OG0000947	sp|Q12766|HMGX3_HUMAN	HMG domain-containing protein 3
OG0000949	sp|A2A791|ZMYM4_MOUSE	Zinc finger MYM-type protein 4
OG0000950	sp|Q9UPZ3|HPS5_HUMAN	Hermansky-Pudlak syndrome 5 protein
OG0000955	sp|Q5ZLC8|ANR52_CHICK	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C
OG0000956	sp|Q9Z2H5|E41L1_MOUSE	Band 4.1-like protein 1
OG0000963	sp|Q8WWI1|LMO7_HUMAN	LIM domain only protein 7
OG0001003	sp|Q4V8C9|LRC56_RAT	Leucine-rich repeat-containing protein 56
OG0001005	sp|Q68FE6|RIPR1_MOUSE	Rho family-interacting cell polarization regulator 1
OG0001012	sp|Q9YHC3|TBB1_GADMO	Tubulin beta-1 chain
OG0001023	sp|A4IHD2|ARIP4_XENTR	Helicase ARIP4
OG0001025	sp|Q08BN9|NXPE3_DANRE	NXPE family member 3
